№ п.п.,07.09.23,11.09.23,14.09.23,21.09.23,26.09.23,28.09.23,28.09.23,03.10.23,03.10.23,10.10.23,17.10.23,17.10.23,24.10.23,24.10.23,31.10.23,31.10.23,07.11.23,07.11.23,14.11.23,14.11.23,21.11.23,21.11.23,28.11.23,28.11.23,05.12.23,05.12.23,12.12.23,12.12.23,19.12.23,19.12.23,26.12.23,26.12.23,,,Лаб 1,Лаб 1,Лаб 2,Лаб 2,Лаб 3,Лаб 3,Лаб 4,Лаб 4,Лаб 5,Лаб 5,Лаб 6,Лаб 6,Лаб 7,Лаб 7,Лаб 8,Лаб 8,Лаб 9,Лаб 9,Лаб 10,Лаб 10,Итого
,лек,лек,лаб,лек,лек,лаб,лаб,лек,лаб,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,,,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,
1,,,,,,,,,,н,,,,н,,,н,н,н,н,,,н,,,н,,,,,,,,,28.09.23,10,31.10.23,10,31.10.23,10,31.10.23,10,21.11.23,5,21.11.23,10,,,,,,,,,55
2,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,,,,н,,,,,,,,,,,,,,,,,,,,,н,,,,,,,,,26.09.23,10,10.10.23,10,10.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,12.12.23,10,,,,,,,70
4,,,,н,,,,,,,,,н,н,,,,,,,,,,,,н,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,31.10..23,10,07.11.23,10,07.11.23,10,12.12.23,10,,,,,,,70
5,,,,,,,,,,,,,,,,,н,н,,,,,,,,н,,,,,,,,,03.10.23,10,10.10.23,10,10.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,12.12.23,10,,,,,,,70
6,,,,н,н,,,,,н,,,н,н,,,н,н,н,н,,,н,н,н,н,н,н,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,31.10..23,10,21.11.23,5,21.11.23,5,,,,,,,,,50
7,,,,н,,,,,,,,,,,н,н,,,,,,,н,н,н,н,н,,,,,,,,03.10.23,10,,,23.10.23,5,24.10.23,10,07.11.23,10,07.11.23,10,,,,,,,,,45
8,,,,,,,,н,н,,н,н,н,н,н,н,н,н,,,,,н,н,,,н,н,,,,,,,10.10.23,5,10.10.23,10,17.10.23,10,17.10.23,10,17.10.23,10,21.11.23,5,05.12.23,10,,,,,,,60
9,,,,,,,,,,,,,,,,,,,,,,,н,н,,н,,,,,,,,,26.09.23,10,28.09.23,10,02.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,,,,,,,,,60
10,,,,н,,,,,,,,,,,,,,,,,,,,н,,,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,28.11.23,10,,,,,,,70
11,,,,,,н,н,,,,н,н,,,,,н,н,,,,,н,н,,,,,,,,,,,03.10.23,10,10.10.23,10,24.10.23,10,31.10.23,10,31.10.23,10,14.11.23,10,05.12.23,10,,,,,,,70
12,,,,н,н,н,н,,,,,,,,н,н,,,н,н,,,,,,н,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,,,,,,,,,60
13,,,,н,н,,,,,н,н,н,н,н,н,н,н,н,,,н,н,н,н,н,н,,,,,,,,,03.10.23,10,,,,,,,,,,,,,,,,,,,10
14,,,,н,н,,,,,,,,,,,н,н,н,,,,,н,н,,н,н,н,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,14.11.23,10,,,,,,,,,60
15,,,,н,н,,,н,н,н,н,н,,,н,н,н,н,,,н,н,н,н,н,н,н,н,,,,,,,28.09.23,10,,,,,,,,,,,,,,,,,,,10
16,,,,,,,,,,н,,,,,,,,,,,,,,,,,,,,,,,,,28.09.23,10,03.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,28.11.23,10,,,,,,,70
17,,,,н,н,н,н,,,н,н,н,н,н,,,н,н,,,н,н,н,н,,н,,,,,,,,,03.10.23,10,31.10.23,10,31.10.23,10,31.10.23,10,31.10.23,10,14.11.23,10,,,,,,,,,60
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,12.12.23,10,,,,,,,70
19,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
